place_id,place_name,district,province_or_city,latitude,longitude,category,interest_tags,cost_level,estimated_duration,indoor_outdoor,contact,review_count,popularity_level,hidden_gem_score,source,last_updated
inzira_2168895916,Htel Woodland,Gasabo,Kigali City,-1.9424722,30.1298225,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_2238083863,Civitas Hotel,Kicukiro,Kigali City,-1.96044,30.109147,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_2295573617,Uwinka Visitors Center,Nyamasheke,Western Province,-2.4783619,29.1998942,Attraction,explore,unknown,unknown,Mixed,Website: http://www.rwandatourism.com/index.php/uwinka-visitor-center,unknown,Medium,9,OpenStreetMap,2026-06-09
inzira_2316992365,Mutumba Hills,Gatsibo,Eastern Province,-1.6018657,30.6461014,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_2317062327,Nyungwe Ranger Post,Gatsibo,Eastern Province,-1.4437391,30.5467728,Attraction,explore,unknown,unknown,Mixed,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_2317062328,Ruzizi Tented Lodge,Kayonza,Eastern Province,-1.90655,30.7170713,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_2317062329,Shakani,Kayonza,Eastern Province,-1.8716912,30.7446515,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_2317169309,Kajumbura Lookout,Gatsibo,Eastern Province,-1.5499057,30.6650068,Scenic Viewpoints,viewpoint,Budget,30-60 mins,Outdoor,unknown,unknown,Low,10,OpenStreetMap,2026-06-09
inzira_2327871216,Hotel Credo,Huye,Southern Province,-2.6092168,29.7371543,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_2342352466,Avega Guest House,Rwamagana,Eastern Province,-1.9477617,30.442456,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_2364349248,Muhazi Beach Hotel,Rwamagana,Eastern Province,-1.8620217,30.4266433,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_2431138134,Red Rocks Guesthouse,Musanze,Northern Province,-1.56087,29.636526,Lodging,"accommodation, wifi",Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_2451865981,Procure,Huye,Southern Province,-2.6056259,29.7439209,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_2498226575,Bweya,Gatsibo,Eastern Province,-1.683879,30.7069232,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_2498226596,Muyumbu,Kayonza,Eastern Province,-1.8497903,30.7210128,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_2498226603,Nyungwe Office,Gatsibo,Eastern Province,-1.4464474,30.5462864,Attraction,explore,unknown,unknown,Mixed,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_2521161682,Peace Guest House,Rusizi,Western Province,-2.4702116,28.9004717,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_2631253377,Golf Hills Residence,Gasabo,Kigali City,-1.9266583,30.094745,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Medium,5,OpenStreetMap,2026-06-09
inzira_2653373175,Cormoran Lodge,Karongi,Western Province,-2.0520479,29.3433408,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_2661148391,Karisoke Research Centre,Musanze,Northern Province,-1.4739956,29.4872168,Attraction,explore,unknown,unknown,Mixed,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_2661148393,Nr. 12 - Diane Fossey Room,Musanze,Northern Province,-1.4998221,29.6328752,Attraction,explore,unknown,unknown,Mixed,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_2661163398,Dian Fossey Grave,Musanze,Northern Province,-1.4732672,29.4846155,Attraction,explore,unknown,unknown,Mixed,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_2686157825,Kandt House Museum of Natural History,Nyarugenge,Kigali City,-1.94668,30.0535269,Cultural & Historic,"history, culture",Moderate,2-3 hours,Mixed,unknown,unknown,Medium,5,OpenStreetMap,2026-06-09
inzira_2996533396,TRCompanion I B&B,Nyarugenge,Kigali City,-1.9368888,30.0889513,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_3134444194,Auberge La Caverne,Nyarugenge,Kigali City,-1.9395927,30.0611152,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_3134446038,Hope Guesthouse,Nyarugenge,Kigali City,-1.9427606,30.0429507,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_3182439086,Gisakura Guesthouse,Rusizi,Western Province,-2.4401035,29.0925168,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_3182480600,Kinunu basecamp,Rutsiro,Western Province,-1.9045356,29.2798863,Lodging,accommodation,Moderate,Overnight,Indoor,Phone: +250788363466 | Website: https://kinunuwonders.rw/,unknown,Medium,9,OpenStreetMap,2026-06-09
inzira_3182503394,Ishara Beach Motel,Nyamasheke,Western Province,-2.3343727,29.1088327,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_3182503470,l esperance,Karongi,Western Province,-2.1682061,29.2860587,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_3182512553,Htel de Chutes,Rusizi,Western Province,-2.4900043,28.8946259,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_3212675448,La Bella Lodge,Rubavu,Western Province,-1.731541,29.2627459,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_3212675449,La Bella campsite,Rubavu,Western Province,-1.7317282,29.2624507,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_3212735284,Iwawe Hotel,Nyarugenge,Kigali City,-1.9431048,30.0868109,Lodging,accommodation,Expensive,Overnight,Indoor,Phone: +250 733 304 142 | Website: https://www.iwawehotel.com/ | Email: reservations@iwawehotel.com,unknown,Medium,5,OpenStreetMap,2026-06-09
inzira_3256805711,Umbrella Pine Guesthouse,Ngoma,Eastern Province,-2.13823,30.5586109,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_3256871493,Holiday Hotel,Karongi,Western Province,-2.0550374,29.3461874,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_3256888236,Uwinka Campsite,Nyamasheke,Western Province,-2.4778626,29.1998587,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_3268707857,Unwinka Visitor's Centre,Nyamasheke,Western Province,-2.4766315,29.1994079,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_3359613463,Virunga Hotel,Musanze,Northern Province,-1.5082221,29.6428217,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_3662009740,Akagera Park Welcome Centre,Kayonza,Eastern Province,-1.8788142,30.7034519,Attraction,explore,unknown,unknown,Mixed,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_3799192300,Five Volcanoes Boutique Hotel,Musanze,Northern Province,-1.4726955,29.6210199,Lodging,accommodation,Expensive,Overnight,Indoor,Website: https://www.fivevolcanoesrwanda.com/,unknown,Medium,9,OpenStreetMap,2026-06-09
inzira_3826920358,Grand Jardin,Muhanga,Southern Province,-2.0677459,29.7908654,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_3828421372,Le Bambou Gorillas Lodge,Musanze,Northern Province,-1.4429472,29.5866918,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_3828421377,Mountain Gorilla Nest,Musanze,Northern Province,-1.442261,29.579225,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_3828421378,La Palloitte Gorilla Place,Musanze,Northern Province,-1.449254,29.589396,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_3832091957,Iris Guest House,Nyarugenge,Kigali City,-1.9475141,30.0669083,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_3833186095,Shalom Guest House,Huye,Southern Province,-2.6071094,29.7390007,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_3860543619,Discover Rwanda Ecolodge,Kayonza,Eastern Province,-1.9199625,30.4952245,Lodging,"accommodation, wifi",Moderate,Overnight,Indoor,Phone: +250 (0) 788746598,unknown,Medium,9,OpenStreetMap,2026-06-09
inzira_3860728819,Discover Rwanda,Rubavu,Western Province,-1.7022347,29.2584138,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_3928322238,Malahide Paradise,Rubavu,Western Province,-1.7337008,29.2733918,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_3928343341,Inzu Lodge,Rubavu,Western Province,-1.7300278,29.2655556,Lodging,"accommodation, wifi",Expensive,Overnight,Indoor,unknown,unknown,Medium,9,OpenStreetMap,2026-06-09
inzira_3928343342,Palm Garden Resort,Rubavu,Western Province,-1.7310313,29.266969,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_3928351368,Inzozi,Rubavu,Western Province,-1.7310758,29.2649894,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_3928409199,Rwiza Village Guest House,Karongi,Western Province,-2.0753632,29.3220348,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_3928434583,Rushel Kivu Lodge,Rutsiro,Western Province,-1.9058512,29.2837629,Lodging,"accommodation, wifi",Expensive,Overnight,Indoor,Website: https://rushelkivu.wixsite.com/home,unknown,Medium,9,OpenStreetMap,2026-06-09
inzira_3928434894,Musasa basecamp,Rutsiro,Western Province,-1.945828,29.32638,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_3928444039,Gisakura Ranger Station,Rusizi,Western Province,-2.4405863,29.092278,Attraction,explore,unknown,unknown,Mixed,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_3928447745,Golden Monkey Hotel,Huye,Southern Province,-2.4721022,29.581463,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_4151748194,National police college head office,Musanze,Northern Province,-1.5069139,29.6388821,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_4151780726,Best View Hotel,Musanze,Northern Province,-1.5004439,29.6294083,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_4154229089,Cyimbiri basecamp,Rubavu,Western Province,-1.8294253,29.2906907,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_4156136410,Auberge De Gisenyi,Rubavu,Western Province,-1.6949717,29.2604996,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_4169751889,Inkuru Nziza,Nyarugenge,Kigali City,-1.9480509,30.0585774,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_4298589891,Motel Eden Garden,Huye,Southern Province,-2.6043082,29.7398631,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_4338448791,Gikondo Expo Ground,Kicukiro,Kigali City,-1.9768665,30.0868435,Attraction,explore,unknown,unknown,Mixed,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_4340931292,Sabyinyo Silverback Lodge,Musanze,Northern Province,-1.4166161,29.5702848,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_4396236908,Foyer de Charit,Musanze,Northern Province,-1.5268853,29.7215358,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_4396263399,Ruhondo Beach Resort,Burera,Northern Province,-1.494467,29.7422918,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Medium,9,OpenStreetMap,2026-06-09
inzira_4440589892,Nyamirambo Women's Centre,Nyarugenge,Kigali City,-1.9648832,30.0627642,Attraction,explore,unknown,unknown,Mixed,Phone: +250 782 111 860 | Website: https://www.nwc-umutima.org/ | Email: nwcoffice.kigali@gmail.com,unknown,Medium,5,OpenStreetMap,2026-06-09
inzira_4511774367,Lemigo Hotel,Kicukiro,Kigali City,-1.955345,30.0976413,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_4518635347,La Palisse Hotels Nyamata,Bugesera,Eastern Province,-2.1391118,30.0745137,Lodging,accommodation,Expensive,Overnight,Indoor,Website: https://lapalissehotels.co.rw,unknown,Medium,9,OpenStreetMap,2026-06-09
inzira_4574953291,Kagogo Sector Office,Burera,Northern Province,-1.3846489,29.7788585,Attraction,explore,unknown,unknown,Mixed,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_4574955700,Musangabo viewpoint,Burera,Northern Province,-1.389989,29.7737121,Scenic Viewpoints,viewpoint,Budget,30-60 mins,Outdoor,unknown,unknown,Low,10,OpenStreetMap,2026-06-09
inzira_4574962002,Agaciro Lodge,Burera,Northern Province,-1.4178647,29.8365304,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_4575249002,SportView Hotel in Kicukiro,Kicukiro,Kigali City,-1.9896571,30.1007822,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_4576325192,Elite motel,Kicukiro,Kigali City,-1.9591408,30.1124122,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_4576393589,Elite Hotel Rwanda,Kicukiro,Kigali City,-1.9594043,30.1126393,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_4577152593,Paradise Medal,Burera,Northern Province,-1.4943219,29.8330574,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_4589127696,Maison St. Benot,Rubavu,Western Province,-1.7491464,29.2770403,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_4591731473,Tea House B&B,Kicukiro,Kigali City,-1.9566273,30.1237932,Lodging,accommodation,Moderate,Overnight,Indoor,Phone: +250782181209 | Website: https://www.bnbteahousekigali.com/,unknown,Medium,5,OpenStreetMap,2026-06-09
inzira_4599903561,Domicile Saint Franois,Rusizi,Western Province,-2.4922657,28.8932266,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_4635137192,Faustin,Kicukiro,Kigali City,-1.9628964,30.1083941,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_4663113704,AGS Country Club,Gasabo,Kigali City,-1.8305322,30.2045565,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_4676560589,Htel Beausjour,Kicukiro,Kigali City,-1.9581221,30.1046633,Lodging,accommodation,Expensive,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_4685309289,SGM Shan-Grilla Motel,Kicukiro,Kigali City,-1.9593295,30.1414237,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,5,OpenStreetMap,2026-06-09
inzira_4698611990,Norbi's viewpoint Kibuye,Karongi,Western Province,-2.0641381,29.351253,Scenic Viewpoints,viewpoint,Budget,30-60 mins,Outdoor,unknown,unknown,Low,10,OpenStreetMap,2026-06-09
inzira_4703050622,Napoleon Island's peak,Rutsiro,Western Province,-2.0175684,29.3083693,Scenic Viewpoints,viewpoint,Budget,30-60 mins,Outdoor,unknown,unknown,Low,10,OpenStreetMap,2026-06-09
inzira_4794834525,Shelter and potential campsite,Karongi,Western Province,-2.1363339,29.3751689,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_4795161326,Potential campsite,Karongi,Western Province,-2.1981808,29.3500726,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_4796384621,Gisovu Tea Estate Guesthouse,Karongi,Western Province,-2.2681521,29.3425797,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_4796674221,KCCEM Guesthouse,Nyaruguru,Southern Province,-2.5292863,29.4178204,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_4825343723,Sind Grard Urwibutso Enterprises guest house,Gakenke,Northern Province,-1.6629171,29.8872867,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
inzira_4826857221,View of Nyabarongo and Mukungwe river,Gakenke,Northern Province,-1.7169434,29.7065173,Scenic Viewpoints,viewpoint,Budget,30-60 mins,Outdoor,unknown,unknown,Low,10,OpenStreetMap,2026-06-09
inzira_4922202021,Banda Community Campsite,Nyamasheke,Western Province,-2.4511633,29.2147313,Lodging,accommodation,Moderate,Overnight,Indoor,unknown,unknown,Low,9,OpenStreetMap,2026-06-09
